,entry,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),収率(%),R2_C,R2_H,under_O2,under_air
0,1,CC1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,87.0,0,1,1,0
1,2,CC1=CC=C(N)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,76.0,0,1,1,0
2,3,CC1=CC=C(OC)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,93.0,0,1,1,0
3,4,CC1=CC=C(Cl)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,90.0,0,1,1,0
4,5,CC1=CC=C(F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0
5,6,CC1=CC=C(C(F)(F)F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,78.0,0,1,1,0
6,7,CC1=CC=CC(Cl)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,72.0,0,1,1,0
7,8,CC1=CC=CC(I)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,70.0,0,1,1,0
8,9,CC1=CC=CC=C1C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,86.0,0,1,1,0
9,10,CC1=CC=CC=C1OC,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,73.0,0,1,1,0
10,11,CC1=C(C=CC=C2)C2=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,81.0,0,1,1,0
11,12,CC1=CC(OCO2)=C2C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0
12,13,CC1=CC=CO1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,80.0,0,1,1,0
13,1,CC1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,10.0,23,48.0,69.0,1,0,1,0
